year,month,day,prov,cases
2020,2,1,제주,0
2020,2,1,검역,0
2020,2,2,서울,1
2020,2,2,부산,0
2020,2,2,대구,0
2020,2,2,인천,0
2020,2,2,광주,0
2020,2,2,대전,0
2020,2,2,울산,0
2020,2,2,세종,0
2020,2,2,경기,2
2020,2,2,강원,0
2020,2,2,충북,0
2020,2,2,충남,0
2020,2,2,전북,0
2020,2,2,전남,0
2020,2,2,경북,0
2020,2,2,경남,0
2020,2,2,제주,0
2020,2,2,검역,0
2020,2,3,서울,0
2020,2,3,부산,0
2020,2,3,대구,0
2020,2,3,인천,0
2020,2,3,광주,0
2020,2,3,대전,0
2020,2,3,울산,0
2020,2,3,세종,0
2020,2,3,경기,0
2020,2,3,강원,0
2020,2,3,충북,0
2020,2,3,충남,0
2020,2,3,전북,0
2020,2,3,전남,0
2020,2,3,경북,0
2020,2,3,경남,0
2020,2,3,제주,0
2020,2,3,검역,0
2020,2,4,서울,0
2020,2,4,부산,0
2020,2,4,대구,0
2020,2,4,인천,0
2020,2,4,광주,1
2020,2,4,대전,0
2020,2,4,울산,0
2020,2,4,세종,0
2020,2,4,경기,0
2020,2,4,강원,0
2020,2,4,충북,0
2020,2,4,충남,0
2020,2,4,전북,0
2020,2,4,전남,0
2020,2,4,경북,0
2020,2,4,경남,0
2020,2,4,제주,0
2020,2,4,검역,0
2020,2,5,서울,2
2020,2,5,부산,0
2020,2,5,대구,0
2020,2,5,인천,0
2020,2,5,광주,1
2020,2,5,대전,0
2020,2,5,울산,0
2020,2,5,세종,0
2020,2,5,경기,2
2020,2,5,강원,0
2020,2,5,충북,0
2020,2,5,충남,0
2020,2,5,전북,0
2020,2,5,전남,0
2020,2,5,경북,0
2020,2,5,경남,0
2020,2,5,제주,0
2020,2,5,검역,0
2020,2,6,서울,2
2020,2,6,부산,0
2020,2,6,대구,0
2020,2,6,인천,0
2020,2,6,광주,0
2020,2,6,대전,0
2020,2,6,울산,0
2020,2,6,세종,0
2020,2,6,경기,0
2020,2,6,강원,0
2020,2,6,충북,0
2020,2,6,충남,0
2020,2,6,전북,0
2020,2,6,전남,1
2020,2,6,경북,0
2020,2,6,경남,0
2020,2,6,제주,0
2020,2,6,검역,0
2020,2,7,서울,0
2020,2,7,부산,0
2020,2,7,대구,0
2020,2,7,인천,0
2020,2,7,광주,0
2020,2,7,대전,0
2020,2,7,울산,0
2020,2,7,세종,0
2020,2,7,경기,0
2020,2,7,강원,0
2020,2,7,충북,0
2020,2,7,충남,0
2020,2,7,전북,0
2020,2,7,전남,0
2020,2,7,경북,0
2020,2,7,경남,0
2020,2,7,제주,0
2020,2,7,검역,0
2020,2,8,서울,0
2020,2,8,부산,0
2020,2,8,대구,0
2020,2,8,인천,0
2020,2,8,광주,0
2020,2,8,대전,0
2020,2,8,울산,0
2020,2,8,세종,0
2020,2,8,경기,0
2020,2,8,강원,0
2020,2,8,충북,0
2020,2,8,충남,0
2020,2,8,전북,0
2020,2,8,전남,0
2020,2,8,경북,0
2020,2,8,경남,0
2020,2,8,제주,0
2020,2,8,검역,0
2020,2,9,서울,0
2020,2,9,부산,0
2020,2,9,대구,0
2020,2,9,인천,0
2020,2,9,광주,0
2020,2,9,대전,0
2020,2,9,울산,0
2020,2,9,세종,0
2020,2,9,경기,3
2020,2,9,강원,0
2020,2,9,충북,0
2020,2,9,충남,0
2020,2,9,전북,0
2020,2,9,전남,0
2020,2,9,경북,0
2020,2,9,경남,0
2020,2,9,제주,0
2020,2,9,검역,0
2020,2,10,서울,0
2020,2,10,부산,0
2020,2,10,대구,0
2020,2,10,인천,0
2020,2,10,광주,0
2020,2,10,대전,0
2020,2,10,울산,0
2020,2,10,세종,0
2020,2,10,경기,1
2020,2,10,강원,0
2020,2,10,충북,0
2020,2,10,충남,0
2020,2,10,전북,0
2020,2,10,전남,0
2020,2,10,경북,0
2020,2,10,경남,0
2020,2,10,제주,0
2020,2,10,검역,0
2020,2,11,서울,0
2020,2,11,부산,0
2020,2,11,대구,0
2020,2,11,인천,0
2020,2,11,광주,0
2020,2,11,대전,0
2020,2,11,울산,0
2020,2,11,세종,0
2020,2,11,경기,0
2020,2,11,강원,0
2020,2,11,충북,0
2020,2,11,충남,0
